"","ime","zvanje","fakultet","univerzitet","drzava","mesto"
"1","Dejan Mijač","redovni profesor u penziji","Fakultet dramskih umetnosti","Univerzitet umetnosti u Beogradu","Srbija",NA
"2","Mirjana Miočinović","redovni profesor u penziji","Fakultet dramskih umetnosti","Univerzitet umetnosti u Beogradu","Srbija",NA
"3","Tijana Mandić","redovni profesor u penziji","Fakultet dramskih umetnosti","Univerzitet umetnosti u Beogradu","Srbija",NA
"4","Nikola Jeftić","redovni profesor u penziji","Fakultet dramskih umetnosti","Univerzitet umetnosti u Beogradu","Srbija",NA
"5","Srđan Karanović","redovni profesor u penziji","Fakultet dramskih umetnosti","Univerzitet umetnosti u Beogradu","Srbija",NA
"6","Goran Marković","profesor emeritus","Fakultet dramskih umetnosti","Univerzitet umetnosti u Beogradu","Srbija",NA
"7","Egon Savin","redovni profesor","Fakultet dramskih umetnosti","Univerzitet umetnosti u Beogradu","Srbija",NA
"8","Alisa Stojanović","redovni profesor","Fakultet dramskih umetnosti","Univerzitet umetnosti u Beogradu","Srbija",NA
"9","Nebojša Romčević","redovni profesor","Fakultet dramskih umetnosti","Univerzitet umetnosti u Beogradu","Srbija",NA
"10","Janko Baljak","redovni profesor","Fakultet dramskih umetnosti","Univerzitet umetnosti u Beogradu","Srbija",NA
"11","Milena Dragićević Šešić","redovni profesor","Fakultet dramskih umetnosti","Univerzitet umetnosti u Beogradu","Srbija",NA
"12","Ivan Medenica","redovni profesor","Fakultet dramskih umetnosti","Univerzitet umetnosti u Beogradu","Srbija",NA
"13","Miloš Pavlović","redovni profesor","Fakultet dramskih umetnosti","Univerzitet umetnosti u Beogradu","Srbija",NA
"14","Dušan Petrović","redovni profesor","Fakultet dramskih umetnosti","Univerzitet umetnosti u Beogradu","Srbija",NA
"15","Dragan Veselinović","redovni profesor","Fakultet dramskih umetnosti","Univerzitet umetnosti u Beogradu","Srbija",NA
"16","Predrag Velinović","redovni profesor","Fakultet dramskih umetnosti","Univerzitet umetnosti u Beogradu","Srbija",NA
"17","Dragana Čolić Biljanovski","redovni profesor","Fakultet dramskih umetnosti","Univerzitet umetnosti u Beogradu","Srbija",NA
"18","Maja Volk","redovni profesor","Fakultet dramskih umetnosti","Univerzitet umetnosti u Beogradu","Srbija",NA
"19","Divna Vuksanović","redovni profesor","Fakultet dramskih umetnosti","Univerzitet umetnosti u Beogradu","Srbija",NA
"20","Irena Ristić","vanredni profesor","Fakultet dramskih umetnosti","Univerzitet umetnosti u Beogradu","Srbija",NA
"21","Srdan Golubović","vanredni profesor","Fakultet dramskih umetnosti","Univerzitet umetnosti u Beogradu","Srbija",NA
"22","Ana Martinoli","vanredni profesor","Fakultet dramskih umetnosti","Univerzitet umetnosti u Beogradu","Srbija",NA
"23","Ivan Šijak","vanredni profesor","Fakultet dramskih umetnosti","Univerzitet umetnosti u Beogradu","Srbija",NA
"24","Dobrivoje Milijanović","vanredni profesor","Fakultet dramskih umetnosti","Univerzitet umetnosti u Beogradu","Srbija",NA
"25","Aleksandar Janković","vanredni profesor","Fakultet dramskih umetnosti","Univerzitet umetnosti u Beogradu","Srbija",NA
"26","Narcisa Darijević Marković","vanredni profesor","Fakultet dramskih umetnosti","Univerzitet umetnosti u Beogradu","Srbija",NA
"27","Ivan Stefanović","vanredni profesor","Fakultet dramskih umetnosti","Univerzitet umetnosti u Beogradu","Srbija",NA
"28","Vlatko Ilić","docent","Fakultet dramskih umetnosti","Univerzitet umetnosti u Beogradu","Srbija",NA
"29","Jelisaveta Tatić Čuturilo","docent","Fakultet dramskih umetnosti","Univerzitet umetnosti u Beogradu","Srbija",NA
"30","Jelena Mitrović","docent","Fakultet dramskih umetnosti","Univerzitet umetnosti u Beogradu","Srbija",NA
"31","Aleksandar Ilić","docent","Fakultet dramskih umetnosti","Univerzitet umetnosti u Beogradu","Srbija",NA
"32","Ksenija Radulović","docent","Fakultet dramskih umetnosti","Univerzitet umetnosti u Beogradu","Srbija",NA
"33","Snežana Trišić","docent","Fakultet dramskih umetnosti","Univerzitet umetnosti u Beogradu","Srbija",NA
"34","Filip Grinvald","docent","Fakultet dramskih umetnosti","Univerzitet umetnosti u Beogradu","Srbija",NA
"35","Vanja Šibalić","docent","Fakultet dramskih umetnosti","Univerzitet umetnosti u Beogradu","Srbija",NA
"36","Nina MIhaljinac","docent","Fakultet dramskih umetnosti","Univerzitet umetnosti u Beogradu","Srbija",NA
"37","Stefan Arsenijević","docent","Fakultet dramskih umetnosti","Univerzitet umetnosti u Beogradu","Srbija",NA
"38","Andrijana Stojković","docent","Fakultet dramskih umetnosti","Univerzitet umetnosti u Beogradu","Srbija",NA
"39","Nikola Ležaić","docent","Fakultet dramskih umetnosti","Univerzitet umetnosti u Beogradu","Srbija",NA
"40","Ognjen Obradović","asistent","Fakultet dramskih umetnosti","Univerzitet umetnosti u Beogradu","Srbija",NA
