1. Marija Kleut, profesorka emerita
2. Svenka Savić, profesorka emerita
3. Vesna Berić-Đukić, redovni profesor u penziji
4. Mikloš Biro, redovni profesor u penziji
5. Ljiljana Subotić, redovna profesorka u penziji
6. Vera Vasić, redovna profesorka u penziji
7. Miroslav Dudok, redovni profesor
8. Svetozar Dunđerski, redovni profesor
9. Vesna Gavrilov-Jerković, redovna profesorka
10. Svetlana Kostović, redovna profesorka
11. Dušan Marinković, redovni profesor
12. Pavle Milenković, redovni profesor
13. Dušanka Mitrović, redovni profesor
14. Ljiljana Pešikan-Ljuštanović, redovna profesorka
15. Momir Samardžić, redovni profesor
16. Pavle Sekeruš, redovni profesor
17. Svetlana Tomin, redovna profesorka
18. Marija Zotović, redovna profesorka
19. Isidora Bjelaković, vanredna profesorka
20. Vladimir Mihić, vanredni profesor
21. Željko Milanović, vanredni profesor
22. Branka Jakšić Provči, vanredna profesorka
23. Veljko Jovanović, vanredni profesor
24. Jelena Šakotić-Kurbalija, vanredna profesorka
25. Marko Škorić, vanredni profesor
26. Tamara Valčić Bulić, vanredna profesorka
27. Jovana Čikić, docentkinja
28. Ana Bilinović Rajačić, docentkinja
29. Bojana Bodroža, docentkinja
30. Brankica Drašković, docentkinja
31. Mina Đikanović, docentkinja
32. Dinko Gruhonjić, docent
33. Milica Kisić Božić, docentkinja
34. Bojan Janičić, docent
35. Tanja Jevremov, docentkinja
36. Nevena Jevtić, docentkinja
37. Aleksej Kišjuhas, docent
38. Jelena Kleut, docentkinja
39. Bojana Kovačević Petrović, docentkinja
40. Viktorija Krombholc, docentkinja
41. Gordana Lalić-Krstin, docentkinja
42. Arijana Luburić Cvijanović, docentkinja
43. Biljana Lungulov, docentkinja
44. Stanislava Marić Jurišin, docentkinja
45. Sanja Maričič Mesarović, docentkinja
46. Jelena Matanović, docentkinja
47. Vladimir Mihajlović, docent
48. Nataša Milićević, docentkinja
49. Smiljana Milinkov, docentkinja
50. Tanja Nedimović, docentkinja
51. Ana Pajvančić – Cizelj, docentkinja
52. Dragoljub Perić, docent
53. Nataša Polovina, docentkinja
54. Boris Popov, docent
55. Marica Rajković, docentkinja
56. Jelena Redli, docentkinja
57. Dušan Ristić, docent
58. Strahinja Stepanov, docent
59. Ana Stipančević, docentkinja
60. Nevena Varnica, docentkinja
61. Sonja Veselinović, docentkinja
62. Stanko Vlaški, docent
63. Lazar Atanasković, asistent
64. Ivana Georgijev, asistentkinja
65. Stefan Janjić, asistent
66. Ivana Jakovljev, asistentkinja
67. Dragana Jelić, asistentkinja
68. Miloš Jocić, asistent
69. Ilija Milovanović, asistent
70. Aleksandar Mudri, asistent
71. Marina Obrenović, asistentkinja
72. Dragana Prodanović, asistentkinja
73. Iva Simurdić, asistentkinja
74. Senka Slijepčević, asistentkinja
75. Norbert Šinković, asistent
76. Jovana Škorić, asistentkinja
77. Tanja Todorović, asistentkinja
78. Marina Fratucan, stručna saradnica
79. Vukašin Živaljević, stručni saradnik
80. Aleksandar Nikolić, saradnik u nastavi
81. Bojan Branovački, istraživač-saradnik
82. Milica Lazić, istraživačica-saradnica
83. Stefani Šovanec, istraživačica-saradnica
84. Radomir Belopavlović, istraživač-pripravnik
