Aleksandar Milošević, docent
Aleksandra Krstić, docentkinja
Aleksandra Ugrinić, asistentkinja
Ana Čekerevac, redovna profesorka
Ana Milojević, docentkinja
Anita Burgund Isakov, docentkinja
Biljana Đorđević, asistentkinja
Bojan Kovačević, vanredni profesor
Bojan Vranić, docent
Boško Francuski, nastavnik stranog jezika
Branimir Stojković, redovni profesor u penziji
Veselin Kljajić, redovni profesor
Vesna Knežević Predić, redovna profesorka
Vukašin Pavlović, profesor emeritus
Goran Tepšić, asistent
Gordana Daša Duhaček, redovna profesorka u penziji
Darko Nadić, redovni profesor
Dejan Milenković, vanredni profesor
Dejan Pavlović, docent
Despot Kovačević, asistent
Dobrivoje Stanojević, redovni profesor
Dragan R. Simić, redovni profesor
Dragan Živojinović, stručni saradnik
Dragana Stöckel, docentkinja
Dušan Pavlović, vanredni profesor
Dušan Spasojević, docent
Dušan Vučićević, docent
Đorđe Pavićević, redovni profesor
Zoran Stojiljković, redovni profesor
Ilija Vujačić, redovni profesor u penziji
Ivan Stanojević, asistent
Ivana Jakšić, asistentkinja
Ivana Radić Milosavljević, asistentkinja
Ivo Visković, redovni profesor u penziji
Janja Simentić, asistentkinja
Jasna Veljković, vanredna profesorka
Jelena Đorđević, redovna profesorka u penziji
Jelena Lončar, docentkinja
Jelena Surčulija Milojević, docentkinja
Jelena Vidojević, docentkinja
Jovan Teokarević, vanredni profesor
Katarina Lončarević, docentkinja
Lila Radonjić, nastavnica veština u penziji
Ljubinka Trgovčević, redovna profesorka u penziji
Marija Vučinić Jovanović, asistentkinja
Marijana Matović, istraživačica saradnica
Marina Pantelić, asistentkinja
Marina Simić, vanredna profesorka
Marko Dašić, asistent
Marko Kovačević, istraživač saradnik
Marko Nedeljković, asistent
Marko Simendić, vanredni profesor
Marko Veković, docent
Marko Vujić, asistent
Milan Krstić, asistent
Milan Podunavac, redovni profesor u penziji
Milica Joković, asistentkinja
Milica Kulić, docentkinja
Miloš Bešić, vanredni profesor
Miloš Hrnjaz, docent
Mira Lakićević, redovna profesorka
Miroljub Radojković, redovni profesor u penziji
Miroslav Brkić, redovni profesor
Miroslav Hadžić, redovni profesor u penziji
Natalija Perišić, vanredna profesorka
Nebojša Vladisavljević, vanredni profesor
Neda Todorović, redovna profesorka u penziji
Nemanja Džuverović, vanredni profesor
Nevenka Žegarac, redovna profesorka
Nikola Beljinac, stručni saradnik
Nikola Jović, asistent
Rade Veljanovski, redovni profesor u penziji
Radmila Nakarada, redovna profesorka u penziji
Ratko Božović, redovni profesor u penziji
Sanja Domazet, docentkinja
Saša Mišić, vanredni profesor
Slaviša Orlović, redovni profesor
Slobodan G. Marković, redovni profesor
Snježana Milivojević, redovna profesorka
Stefan Surlić, asistent
Stevan Nedeljković, asistent
Suzana Mihajlović Babić, asistentkinja
Tamara Džamonja Ignjatović, redovna profesorka
Filip Ejdus, vanredni profesor
Čedomir Čupić, redovni profesor u penziji
