1. akademik prof. dr Kosta Čavoški, redovni profesor u penziji
2. prof. dr Mirjana Todorović, redovna profesorka u penziji
3. prof. dr Stevan Lilić, redovni profesor u penziji
4. prof. dr Emilija Vukadin, redovna profesorka u penziji
5. prof. dr Ljiljana Radulović, redovna profesorka u penziji
6. prof. dr Radmila Vasić, redovna profesorka u penziji
7. prof. dr Dragor Hiber, redovni profesor u penziji
8. prof. dr Marija Draškić, redovna profesorka
9. prof. dr Nebojša Jovanović, redovni profesor
10. prof. dr Dragica Vujadinović, redovna profesorka
11. prof. dr Jasminka Hasanbegović, redovna profesorka
12. prof. dr Boris Begović, redovni profesor
13. prof. dr Aleksandra Jovanović, redovna profesorka
14. prof. dr Miodrag Jovanović, redovni profesor
15. prof. dr Ivana Krstić, vanredna profesorka
16. prof. dr Marko Davinić, vanredni profesor
17. prof. dr Tanasije Marinković, vanredni profesor
18. prof. dr Goran Dajović, vanredni profesor
19. prof. dr Danilo Vuković, vanredni profesor
20. doc. dr Milena Đorđević, docentkinja
21. doc. dr Miloš Milošević, docent
22. doc. dr Maja Lukić Radović, docentkinja
23. doc. dr Bojan Spaić, docent
24. doc. dr Miloš Zdravković, docent
25. doc. dr Svetislav Kostić, docent
26. doc. dr Sanja Gligić, docentkinja
27. Ana Odorović, asistentkinja
28. Nikola Ilić, asistent 
