Smiljka Tomanović, redovna profesorka
Marija Babović, redovna profesorka
Đokica Jovanović, redovni profesor
Nada Sekulić, redovna profesorka
Slobodan Cvejić, redovni profesor
Mina Petrović, redovna profesorka
Dalibor Petrović, vanredni profesor
Dušan Mojić, vanredni profesor
Jelena Pešić, docentkinja
Jovo Bakić, docent
Vera Backović, docentkinja
Jelisaveta Petrović, docentkinja
Ana Birešev, docentkinja
Željka Manić, docentkinja
Irena Petrović, asistentkinja
Nemanja Kostić, asistent
Marija Radoman, istraživačica saradnica
Milica Resanović, istraživačica pripravnica
Tamara Petrović Trifunović, istraživačica saradnica
Milena Toković, istraživačica saradnica
Selena Radović, istraživačica saradnica
Stefan Janković, istraživač saradnik
Dunja Poleti Ćosić, istraživačica saradnica
Jelena Nikolić, stručna saradnica
Dragica Krsmanović, stručna saradnica
Dragana Radisavljević Ćiparizović, stručna saradnica
