1. Petar Đukić, redovni profesor
2. Bojana Obradović, redovna profesorka
3. Menka Petkovska, redovna profesorka
4. Nikola Nikačević, vanredni profesor
5. Dimitrije Krstić, profesor u penziji
6. Verica Krstić, redovna profesorka u penziji
7. Zagorka Nikitović, redovna profesorka u penziji
8. Milica Milutinović, naučna istraživačica
9. Velimir R. Radmilović, redovni profesor u penziji
11. Dejan Bezbradica, redovni profesor
12. Vladimir Pavićević, docent
13. Asim Sadibašić, redovni profesor u penziji
14. Jovan A Jovanović, redovni profesor u penziji
15. Nevenka Bošković Vragolović, redovna profesorka
16. Tatjana Volkov Husović, redovna profesorka
17. Radoslava Pravilović, asistentkinja
18. Srđan Marković, redovni profesor u penziji
19. Marko Stamenić, viši naučni saradnik
20. Ivana Lukić, naučna saradnica
21. Rada Pjanović, vanredna profesorka
22. Ana Kramar, naučna saradnica
23. Srđan Pejanović, redovni profesor u penziji
24. Ana Alil, stručna saradnica
