1. Dejan Mijač, redovni profesor u penziji, Fakultet dramskih umetnosti, Univerzitet umetnosti u Beogradu
2. Mirjana Miočinović, redovna profesorka u penziji, Fakultet dramskih umetnosti, Univerzitet umetnosti u Beogradu
3. Tijana Mandić, redovna profesorka u penziji, Fakultet dramskih umetnosti, Univerzitet umetnosti u Beogradu
4. Nikola Jeftić, redovni profesor u penziji, Fakultet dramskih umetnosti, Univerzitet umetnosti u Beogradu
5. Srđan Karanović, redovni profesor u penziji, Fakultet dramskih umetnosti, Univerzitet umetnosti u Beogradu
6. Goran Marković, profesor emeritus, Fakultet dramskih umetnosti, Univerzitet umetnosti u Beogradu
7. Egon Savin, redovni profesor, Fakultet dramskih umetnosti, Univerzitet umetnosti u Beogradu
8. Alisa Stojanović, redovni profesor, Fakultet dramskih umetnosti, Univerzitet umetnosti u Beogradu
9. Nebojša Romčević, redovni profesor, Fakultet dramskih umetnosti, Univerzitet umetnosti u Beogradu
10. Janko Baljak, redovni profesor, Fakultet dramskih umetnosti, Univerzitet umetnosti u Beogradu
11. Milena Dragićević Šešić, redovna profesorka, Fakultet dramskih umetnosti, Univerzitet umetnosti u Beogradu
12. Ivan Medenica, redovni profesor, Fakultet dramskih umetnosti, Univerzitet umetnosti u Beogradu
13. Miloš Pavlović, redovni profesor, Fakultet dramskih umetnosti, Univerzitet umetnosti u Beogradu
14. Dušan Petrović, redovni profesor, Fakultet dramskih umetnosti, Univerzitet umetnosti u Beogradu
15. Dragan Veselinović, redovni profesor, Fakultet dramskih umetnosti, Univerzitet umetnosti u Beogradu
16. Predrag Velinović, redovni profesor, Fakultet dramskih umetnosti, Univerzitet umetnosti u Beogradu
17. Dragana Čolić Biljanovski, redovni profesor, Fakultet dramskih umetnosti, Univerzitet umetnosti u Beogradu
18. Maja Volk, redovni profesor, Fakultet dramskih umetnosti, Univerzitet umetnosti u Beogradu
19. Divna Vuksanović, redovna profesorka, Fakultet dramskih umetnosti, Univerzitet umetnosti u Beogradu
20. Irena Ristić, vanredna profesorka, Fakultet dramskih umetnosti, Univerzitet umetnosti u Beogradu
21. Srdan Golubović, vanredni profesor, Fakultet dramskih umetnosti, Univerzitet umetnosti u Beogradu
22. Ana Martinoli, vanredni profesor, Fakultet dramskih umetnosti, Univerzitet umetnosti u Beogradu
23. Ivan Šijak, vanredni profesor, Fakultet dramskih umetnosti, Univerzitet umetnosti u Beogradu
24. Dobrivoje Milijanović, vanredni profesor, Fakultet dramskih umetnosti, Univerzitet umetnosti u Beogradu
25. Aleksandar Janković, vanredni profesor, Fakultet dramskih umetnosti, Univerzitet umetnosti u Beogradu
26. Narcisa Darijević Marković, vanredni profesor, Fakultet dramskih umetnosti, Univerzitet umetnosti u Beogradu
27. Ivan Stefanović, vanredni profesor, Fakultet dramskih umetnosti, Univerzitet umetnosti u Beogradu
28. Vlatko Ilić, docent, Fakultet dramskih umetnosti, Univerzitet umetnosti u Beogradu
29. Jelisaveta Tatić Čuturilo, docent, Fakultet dramskih umetnosti, Univerzitet umetnosti u Beogradu
30. Jelena Mitrović, docent, Fakultet dramskih umetnosti, Univerzitet umetnosti u Beogradu
31. Aleksandar Ilić, docent, Fakultet dramskih umetnosti, Univerzitet umetnosti u Beogradu
32. Ksenija Radulović, docentkinja, Fakultet dramskih umetnosti, Univerzitet umetnosti u Beogradu
33. Snežana Trišić, docent, Fakultet dramskih umetnosti, Univerzitet umetnosti u Beogradu
34. Filip Grinvald, docent, Fakultet dramskih umetnosti, Univerzitet umetnosti u Beogradu
35. Vanja Šibalić, docent, Fakultet dramskih umetnosti, Univerzitet umetnosti u Beogradu
36. Nina MIhaljinac, docentkinja, Fakultet dramskih umetnosti, Univerzitet umetnosti u Beogradu
37. Stefan Arsenijević, docent, Fakultet dramskih umetnosti, Univerzitet umetnosti u Beogradu
38. Andrijana Stojković, docent, Fakultet dramskih umetnosti, Univerzitet umetnosti u Beogradu
39. Nikola Ležaić, docent, Fakultet dramskih umetnosti, Univerzitet umetnosti u Beogradu
40. Ognjen Obradović, asistent, Fakultet dramskih umetnosti, Univerzitet umetnosti u Beogradu
41. Tara Manić, asistent, Fakultet dramskih umetnosti, Univerzitet umetnosti u Beogradu
42. Maja Miloš, asistent, Fakultet dramskih umetnosti, Univerzitet umetnosti u Beogradu
43. Stefan Ivančić, asistent, Fakultet dramskih umetnosti, Univerzitet umetnosti u Beogradu
44. Martina Krivokapić, stručni saradnik, Fakultet dramskih umetnosti, Univerzitet umetnosti u Beogradu
45. Romana Vujasinović, stručna saradnica, Fakultet dramskih umetnosti, Univerzitet umetnosti u Beogradu
46. Ljubomir Madžar, redovni profesor u penziji, Ekonomski fakultet, Univerzitet u Beogradu
47. Dubravka Pavličić, redovni profesor u penziji, Ekonomski fakultet, Univerzitet u Beogradu
48. Milić Milovanović, redovni profesor u penziji, Ekonomski fakultet, Univerzitet u Beogradu
49. Aleksandra Nojković, redovni profesor, Ekonomski fakultet, Univerzitet u Beogradu
50. Branko Rakita, redovni profesor, Ekonomski fakultet, Univerzitet u Beogradu
51. Danica Popović, redovni profesor, Ekonomski fakultet, Univerzitet u Beogradu
52. Galjina Ognjanov, redovni profesor, Ekonomski fakultet, Univerzitet u Beogradu
53. Marko Backović, redovni profesor, Ekonomski fakultet, Univerzitet u Beogradu
54. Mihail Arandarenko, redovni profesor, Ekonomski fakultet, Univerzitet u Beogradu
55. Milojko Arsić, redovni profesor, Ekonomski fakultet, Univerzitet u Beogradu
56. Miroslav Todorović, redovni profesor, Ekonomski fakultet, Univerzitet u Beogradu
57. Nadežda Silaški, redovni profesor, Ekonomski fakultet, Univerzitet u Beogradu
58. Tatjana Đurović, redovni profesor, Ekonomski fakultet, Univerzitet u Beogradu
59. Goran Milićević, vanredni profesor u penziji, Ekonomski fakultet, Univerzitet u Beogradu
60. Ivana Prica, vanredni profesor, Ekonomski fakultet, Univerzitet u Beogradu
61. Jelena Filipović, vanredni profesor, Ekonomski fakultet, Univerzitet u Beogradu
62. Sanja Mitić, vanredni profesor, Ekonomski fakultet, Univerzitet u Beogradu
63. Milutin Živanović, asistent, Ekonomski fakultet, Univerzitet u Beogradu
64. Maja Ribić, saradnik u nastavi, Ekonomski fakultet, Univerzitet u Beogradu
65. Filip Obradović, saradnik u nastavi, Ekonomski fakultet, Univerzitet u Beogradu
66. Lazar Đurović, saradnik u nastavi, Ekonomski fakultet, Univerzitet u Beogradu
67. Akademik Dušan Teodorović, redovni profesor, Saobraćajni fakultet, Univerzitet u Beogradu
68. Ranko Bugarski, redovni profesor u penziji, Filološki fakultet, Univerzitet u Beogradu
69. Vladeta Janković, redovni profesor u penziji, Filološki fakultet, Univerzitet u Beogradu
